Cert Name,Cost,Time (hrs),Avg Salary of Reciever,Number of Holders
CCFE (Certified Computer Forensics Examiner),$499 ,,"$74,199 ",
CGEIT (Certified in the Governance of Enterprise IT),$760 ,,"$104,272 ",6000
CRISC (Certified in Risk and Information Systems Control),$760 ,,"$146,480 ",30000
"CSX, CSX-P (Cybersecurity Nexus)",$599 ,,"$65,000 ",
CCII (Certified Cyber Intelligence Investigator),"$1,497 ",,"$100,000 ",
CCTA (Certified Counter Intelligence Threat Analyst),"$1,797 ",,"$55,197 ",
CCIP (Certified Cyber Intelligence Professional),"$1,797 ",,"$72,500 ",
CECI (Certified Expert in Cyber Investigations),"$1,997 ",,"$100,000 ",21412
SMIA (Certified Social Media Intelligence Analyst),$947 ,,"$69,000 ",
CSMIE (Certified Social Media Intelligence Expert),"$1,997 ",,"$57,000 ",11412
OSCP (Offensive Security Certified Professional),$999 ,,"$93,300 ",20000
OSWP (Offensive Security Wireless Professional),$450 ,,"$52,000 ",
OSCE (Offensive Security Certified Expert),"$1,200 ",,"$100,000 ",
OSEE (Offensive Security Exploitation Expert),"$5,000 ",,,100
OSWE (Offensive Security Web Expert),"$1,400 ",,"$200,000 ",
CISSO (Certified Information Systems Security Officer),$500 ,,"$105,000 ",
CPTE (Certified Penetration Testing Engineer),$500 ,,"$84,000 ",
CPTC (Certified Penetration Testing Consultant),$500 ,,"$110,000 ",
CDRE (Certified Disaster Recovery Engineer),$500 ,,"$84,000 ",
CDFE (Certified Digital Forensics Examiner),$500 ,,"$65,000 ",
CNFE (Certified Network Forensics Examiner),$500 ,,"$99,000 ",
CSWAE (Certified Secure Web Applications Engineer),$500 ,,"$71,000 ",
CSWAC (Certified Secure Web Applications Consultant),$500 ,,"$95,000 ",
CIHE (Certified Incident Handling Engineer),$500 ,,"$78,662 ",
CWSE (Certified Wireless Security Engineer),$500 ,,"$82,000 ",
CVA (Certified Vulnerability Assessor),$500 ,,"$95,000 ",
CSLO (Certified Security Leadership Officer),$500 ,,"$89,862 ",
CPEH (Certified Professional Ethical Hacker),$500 ,,"$80,000 ",
CISSM (Certified Information Systems Security Manager),$500 ,,"$83,169 ",
CISSA (Certified Information Systems Security Auditor),$500 ,,"$64,862 ",
CISRM (Certified Information Systems Risk Manager),$500 ,,"$87,700 ",
ISCAP (Information Systems Certification and Accreditation Professional),$500 ,,"$91,000 ",
CSP (Certified Security Principles),$500 ,,"$98,000 ",
CSAP (Certified Security Awareness Principles),$500 ,,,
CVE (Certified Virtualization Engineer),$500 ,,"$76,000 ",
CVSE (Certified Virtualization Security Engineer),$500 ,,"$85,000 ",
CCSC (Certified Cloud Security Consultant),$500 ,,,
CVDE (Certified Virtual Desktop Engineer),$500 ,,"$86,000 ",
CISS (Certified IPv6 Security Specialist),$500 ,,"$87,500 ",
CVFE (Certified Virtualization Forensics Examiner),$500 ,,"$101,000 ",
CCSO (Certified Cloud Security Officer),$500 ,,"$121,000 ",
CVCP (Certified Virtualization and Cloud Principles),$500 ,,"$129,500 ",
CISMS-LA (Certified Information Security Management Systems Lead Auditor),$500 ,,"$89,862 ",
CISMS-LI (Certified Information Security Management Systems Lead Implementer),$500 ,,"$89,862 ",
