Title,Company,Location,Links,Salary,Description
"Security Engineer – Penetration Tester, Pune (or remote), In...","Security Innovation, Inc.","Wilmington, MA 01887•Remote",https://indeed.com/viewjob?jk=ed994346db29a865,None,"Position Overview
We’re looking for candidates that are knowledgeable in application security and vulnerabilities. We don’t expect our candidates to know everything, but we do expect them to take on new challenges and not be afraid to fail. Successful candidates are passionate about information security and willing to learn new things.
Our security team is located in downtown Pune serving a global client base of technology vendors and enterprise IT organizations. We’re looking for a professional security engineer to join our office in Pune.
Your Responsibilities
Hack all the things. Okay, seriously, here are some HR Role and Responsibility content regarding what you will do on a daily basis:
Work closely with other application security engineers to perform reviews and tests on Web and Conventional applications as well as embedded, mobile, network vulnerability assessments, cloud configurations and more
Use a combination of manual and automated techniques to assess risks and circumvent security mechanisms of devices and applications
Design and develop security testing scenarios
Analyze and present results of testing to team members, managers, and customers
Write detailed problem reports, test plan documents, and mitigation recommendations as needed
Review code for common security vulnerabilities
Possible travel to client sites to conduct in-person security reviews and assessments
Your Resume
We’ll glance at it. Being professional with documentation is important when putting together reports for our clients. Constructing a formal resume can demonstrate that to us. What we’re really looking for, even if your resume doesn’t say it, is someone versed and capable in one or many of the following areas:
Penetration Testing and Ethical Hacking
Interest in conducting security research
Must Haves
What we expect of our applicants:
Knowledge of common application security bugs and other attack types
Above average knowledge of Windows and/or Linux and Unix variants
Strong written and verbal communication skills
Willingness to learn new technologies
Not a jerk – We have a policy about it
Nice to Haves
These skills are not required, but if you have any of them, you are likely a good candidate for the position:
Completed OSCP, OSCE, or a similar security certification
Understanding of application design, development, and testing techniques
Involved in Bug Bounty program
Participated in a Capture the Flag event
If you have an in-deep knowledge of a specific technology, teach us about it. Our engineers have a wide breadth of security knowledge, but we love it when engineers have an extensive understanding of one technology.
Perks & Benefits
There is a reason we have a 4.9/5 rating on Glassdoor. We take care of our clients, but also take care of our employees.
Comprehensive health insurance coverage provided
Work-life balance – we mean it.
Professional Development budget for conferences, classes, certifications, or other learning opportunities
Flexible work environment
Free coffee, snacks, beverages, among other office treats
Apply for This Position
Send your resume to india-jobs@securityinnovation.com. We look forward to speaking with you."
Penetration Tester,Zillion Tech,"Alexandria, VA•Temporarily Remote",https://indeed.com/viewjob?jk=e957a4dc023b209f,$80 - $85 an hour,"THIS IS A REMOTE, WORK FROM HOME POSITION
Purpose of this Position:
RSI is looking for a Penetration Tester to join our team. As a Penetration Tester, you will perform comprehensive penetration testing against other enterprise networks. The ideal candidate must have the expertise to perform web application, internal and external network penetration testing, and source code review. In addition, this person will manage regulatory compliance testing needs and make recommendations for improvement.
*
Qualifications: *
4+ years of relevant professional experience.
Bachelor’s Degree in Information Technology, Information Security or related field.
CISSP, CEH, and CRISC certifications.
Well-rounded knowledge on operating systems, networks, and scripting.
Familiarity with security testing tools (Qualys, Nexpose, SAINT, AppSpider, Metasploit, nmap, etc.).
Experience working with basic network protocols (e.g., TCP/IP, SSH, HTTP, DNS, SMB, etc.).
Strong knowledge of tools used for wireless, web application, and network security testing.
Strong analytical and problem solving skills.
Strong customer service skills.
Excellent written & oral communication skills as well as presentation skills.
Works with integrity and ethics.
Security-related certifications (ISSAP, GIAC, OSCP, OSCE, GPEN, or GXPN, etc.) are highly desired, but not required.
*
Physical Requirements: *
Ability to sit at a desk for long periods of time.
Ability to clearly communicate with customers and staff through verbal and written communications.
Ability to type, hand write, use computers and answer phones daily.
*
Primary Duties & Responsibilities: *
Execute penetration tests and security assessments, including internal & external networks, web and mobile applications, Windows and Linux environments, AWS architecture, IoT devices, and more.
Create and analyze assessment documentation and reports, clearly identifying vulnerabilities and associated remediation steps.
Develop tools and scripts to automate and improve current pentesting processes.
Conduct new security research and work with others to develop blog posts on findings.
Provide subject matter expertise and guidance utilizing tools and techniques to conduct cyber vulnerability and penetration testing.
Work closely with the Project Management team and the Technical Advisory and Consulting team.
Actively continue education and technical skill development, improving security capabilities.
m64qtnyJ7J
Job Type: Full-time
Work Location: Multiple Locations"
Penetration Tester (Remote),Taylor Corporation,"North Mankato, MN•Remote",https://indeed.com/viewjob?jk=ffa3e44ad093ab4b,None,"Let Us Power Your Potential
Taylor Corporation is a dynamic, diversified company with big plans for the future ― and your career. We power our employees’ potential and strive to create opportunity and security for every member of the team. If you’re ready for something bigger ― more challenge, more variety, more pathways for professional growth ― we should talk. We’re passionate about our work, we believe there is always a better way, and we’re looking for people like you.
Ready to reach your potential? It’s time to look at Taylor.
Your Opportunity: Taylor is seeking a mid/senior level Penetration Tester to perform network and application penetration tests and vulnerability assessments on industry standards and regulatory requirements. The Penetration Tester will design and perform penetration tests, analyze findings, and report results. The ideal candidate will have experience with or knowledge of Windows and Linux OS, networking, cloud environments, and secure application development best practices.
Your Responsibilities:
Work with businesses to determine scope and rules of engagement.
Design and perform internal and external application and network penetration tests and vulnerability assessments against multiple standards / requirements to ensure compliance (OWASP, NIST, PCI, contractual requirements)
Perform risk assessments of network, application, wireless, and other technologies
Document results and recommendations using company–standard templates.
Develop and maintain penetration test procedures, finding templates, and other documentation
Review penetration test reports for other penetration testers
Act as a senior resource for more junior penetration testers
Create security training materials concerning common penetration test findings for developers and system administrators.
Design or contribute to social engineering tests.
Work with information security management to develop strategies and plans to enforce ongoing security requirements and address identified risks
Report to management concerning residual risk, vulnerabilities and other security exposures; including misuse of information assets and noncompliance
Remain current on security trends, best practices, and issues.
Perform other duties as assigned
You Must Have:
U.S. Citizenship is required, due to projects that may require government clearance
Minimum of five years of experience relative to Information Technology
Mid/Senior level experience in application development plus either system administration or networking
Industry-recognized penetration test certification required, or commitment to complete certification at candidate’s expense within six months of employment.
Ability to work in a fast-paced, fluid environment
Proactive, decisive, action-oriented individual
Positive attitude about documentation and detailed tracking requirements
Strong written and verbal communication skills
Able to clearly present or document technical issues in a way that nontechnical people can understand
Ability to be broadly focused and manage multiple efforts concurrently
Ability to work well under minimal supervision and meet deadlines
Strong analytical and problem-solving skills to enable effective problem resolution
Ability to balance completing priorities of security, IT and business
Desire to foster a collaborative environment across a remote team
Ability to interface effectively with a broad range of people and roles, including vendors, customers, IT and business personnel
Strong business ethics
We Would Also Prefer:
Degree in Cyber Security, Information Systems Auditing, or other equivalent degree or experience preferred
Minimum of two years of full-time experience performing Penetration Tests
Experience using common penetration test tools such as Burp Suite Pro, application scanners, Nessus, Nmap, Metasploit Pro, and Kali-Linux tools
Experience in networking, system administration, scripting, and/or application development on prem and/or in the cloud highly desirable
Here is how we are going to keep you safe in the workplace:
Our focus continues to be on our employees and their wellbeing, and we have taken steps to ensure your safety in all our facilities. The following are workplace safety guidelines in each of our Taylor locations:
Work from home in accordance with CDC and state guidelines
Masks are provided and required in all our facilities
Employees will maintain at least 6 feet of distance whenever possible
We have hand sanitizer and soap & water readily available
Increased cleaning and disinfection of high traffic areas
Communication & Action Plans if one of our employees shows symptoms or tests positive for COVID-19
About Taylor Corporation
One of the top five graphics communications companies in North America, Taylor’s family of companies provide a diverse set of products, services and technologies addressing the toughest communication challenges. For 45 years, Taylor has been a premier provider of powerful and innovative products, services and expertise for individuals, businesses and distributors large and small. Our 12,000+ employees spanning more than 25 states and nine countries work diligently to create the interactive, printing and marketing solutions that have helped build some of the world’s more recognizable brands. Everything we do begins with identifying the unique priorities and needs of our customers and creating one-of-a-kind solutions. We offer a full range of benefits to power our employees’ potential including: health, dental, vision and life insurance; a 401(k) plan; paid time off (PTO) and holiday pay, and more.
Taylor Corporation is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
Taylor Technology Services Inc
is an Equal Opportunity Employer, please see our EEO policy."
Senior Penetration Tester,K logix,Remote,https://indeed.com/viewjob?jk=d2fc0f40d397e931,None,"Position Overview
We’re looking for candidates that are knowledgeable in application security and vulnerabilities. We don’t expect our candidates to know everything, but we do expect them to take on new challenges and not be afraid to fail. Successful candidates are passionate about information security and willing to learn new things.
Our security team is located in downtown Seattle serving a global client base of technology vendors and enterprise IT organizations. We’re looking for a professional security engineer to join our office in Seattle.
Your Responsibilities
Hack all the things. Okay, seriously, here are some HR Role and Responsibility content regarding what you will do on a daily basis:
Work closely with other application security engineers to perform reviews and tests on Web and Conventional applications as well as embedded, firmware, mobile, and more
Use a combination of manual and automated techniques to assess risks and circumvent security mechanisms of devices and applications
Create threat models that result in more secure application design
Design and develop security testing scenarios
Analyze and present results of testing to team members, managers, and customers
Write detailed problem reports, test plan documents, and mitigation recommendations as needed
Develop tools to aid penetration test automation and effectiveness
Review code for common security vulnerabilities
Possible travel to client sites to conduct in-person security reviews and assessments
Your Resume
We’ll glance at it. Being professional with documentation is important when putting together reports for our clients. Constructing a formal resume can demonstrate that to us. What we’re really looking for, even if your resume doesn’t say it, is someone versed and capable in one or many of the following areas:
Penetration Testing and Ethical Hacking
Dynamic and/or Static Code Analysis
Software Development
Interest in conducting security research
Must Haves
What we expect of our applicants:
Knowledge of common application security bugs and other attack types
Demonstrate an ability to code in one or more language
Above average knowledge of Windows and/or Linux and Unix variants
Willingness to learn new technologies
Strong written and verbal communication skills
Not a jerk – We have a policy about it
Nice to Haves
These skills are not required, but if you have any of them, you are likely a good candidate for the position:
B.S. in Computer Science or related degree
Completed OSCP, OSCE, or a similar security certification
Understanding of application design, development, and testing techniques
Involved in Bug Bounty program
Participated in a Capture the Flag event
Working knowledge of common security testing tools like Burp Suite, SQLMap, Metasploit, IDAPro, etc.
Experience with embedded, firmware, and/or IoT technologies
Detail-oriented and dependable
Good sense of humor
If you have an in-deep knowledge of a specific technology, teach us about it. Our engineers have a wide breadth of security knowledge, but we love it when engineers have an extensive understanding of one technology.
Perks & Benefits
There is a reason we have a 4.9/5 rating on Glassdoor. We take care of our clients, but also take care of our employees.
Comprehensive health, dental, and vision insurance coverage provided (HMO, PPO, and HSA options available)
Generous 401k matching
Take what you need PTO
Work-life balance – we mean it
Financial assistance and scheduled time off for research
Professional Development budget for conferences, classes, certifications, or other learning opportunities
Flexible work environment with telecommuting options available
Extensive technology budget renewed every year
Free coffee, snacks, beverages, among other office treats
**You must be legally eligible to work in the USA. We are not accepting candidates that will require Security Innovation to commence (“sponsor”) an immigration case (for example, H-1B or other employment-based immigration cases) at this time or in the future.
Apply for This Position
Send your resume to jobs@securityinnovation.com and begin completing the challenges at https://canyouhack.us.
We look forward to meeting you."
"Security Engineer – Penetration Tester, Seattle(or remote) ,...","Security Innovation, Inc.","Wilmington, MA 01887•Remote",https://indeed.com/viewjob?jk=36ae5508f4b90d45,None,"Requirements:
3 -7 years of experience as a penetration tester
Penetration testing experience in a federal government environment
Bachelor's degree in computer and information science, or equivalent.
One or more security certifications such as:
Offensive Security Certified Professional (OSCP);
Offensive Security Certified Expert (OSCE);
SANS GIAC Penetration Tester (GPEN);
SANS GIAC Exploit Researcher and Advanced Penetration Tester (GXPN);
GIAC Web Application Penetration Tester (GWAPT)
Certified Information Systems Security Professional (CISSP) – other certifications preferred over this
Experience with Nessus and CSAM
Responsibilities:
The successful candidate will become part of a three-person HVA assessment team. The team will be required to obtain the CISA HVA Assessment Team certification. Each team member must pass their respective courses, then, as a team, complete an HVA assessment that will be critically reviewed.
Perform penetration testing to assess and identify security vulnerabilities of networks, applications, and systems.
Conduct manual and automated penetration tests including blackbox, graybox, and whitebox.
Analyze and evaluate findings to identify weaknesses of the environment.
Document testing results and present suggestions for the development of countermeasures and security improvements.
Utilize a variety of assessment tools, such as Nmap, BurpSuite, Kali Linux; and scripting languages like Bash, Python, Perl or Ruby.
Familiar with red team testing protocols and cybersecurity frameworks like OWASP, OSSTMM, PTES.
Work is generally independent and collaborative in nature.
Contributes to moderately complex aspects of a project.
Job Types: Full-time, Contract
Pay: $40.00 - $63.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Application Question(s):
What certifications do you hold?
What is your work authorization status? (EX: US Citizen, Green Card, H1B)
Experience:
Penetration testing: 3 years (Required)
federal: 1 year (Preferred)
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19
Work Location: One location"
None,XFORIA Inc,Remote,https://indeed.com/viewjob?jk=80290d7a108ef6c2,None,"About the role:
BSI is hiring a Senior Web Application Penetration Tester. This regular, full-time position is a great opportunity for someone with strong web application penetration testing skills who would like to work on a variety of interesting projects. This position focuses primarily on web application penetration testing; however, opportunities may be available to perform IoT testing, network penetration testing, red team engagements, social engineering, and physical penetration testing.
We have plenty of exciting projects to work on, including security assessments of web applications, execution of social engineering campaigns, and even physical security assessments.  This is an opportunity for a team player who would like to work with a world-class group, is ready to get started quickly, and is eager to learn new skills and have fun while doing so.
Senior Web Application Penetration Tester Responsibilities:
Understanding of web application security (including but not limited to OWASP Top Ten)
Conducting all types of web application penetration testing, vulnerability assessments, and architecture reviews
Writing a formal security assessment report for each penetration test using our company’s standard reporting format
Participating in conference calls with clients to review your assessment results and consult with the clients on remediation options
Retesting security vulnerabilities that have been fixed and republishing your report to indicate the results of retesting
Assisting with security assessment and reporting methodology enhancements
Performing security research on topics that interest you and publishing content to contribute to the information security community
Education/Qualifications:
The ideal candidate will possess at least 5 years of experience performing penetration tests, including familiarity experience with two or more of the following:
Network penetration testing and security fundamentals
Vulnerability assessments
Mobile application penetration testing and security fundamentals (iOS/Android)
Secure source code review / static analysis (manual and/or automated)
IoT penetration testing and security fundamentals
Social engineering campaigns
Physical penetration testing
Secure software development and architecture
Scripting/coding
Knowledge of industry compliance standards and regulations (PCI, HIPAA, etc.)
Experience in blue team roles: System/Network Administration, Developer, Security Engineer, or equivalent
What we offer:
BSI offers a competitive salary, group-sponsored health and dental, short-term and long-term disability, a company-matched 401k plan, company paid life insurance, 11 paid holidays and 4 weeks paid time off.
Our Excellence Behaviours: Client-centric, Agile, Collaborative. These three behaviours represent how we do things at BSI. They help us ensure that BSI is a great place to work and a highly successful business.
BSI is an Equal Opportunity Employer and we are committed to diversity.
BSI is conducting face-to-face interviews where appropriate and possible. If you are invited to a face-to-face interview but feel more comfortable with conducting the interview virtually, please speak to a member of our recruitment team.
Job Type: Full-time
Salary: From $0.10 per hour
Work Remotely:
Yes"
Senior Penetration Tester (Web Applications),Inovalon,"Bowie, MD 20716•Remote",https://indeed.com/viewjob?jk=ffa3e44ad093ab4b,"$110,000 - $140,000 a year","Let Us Power Your Potential
Taylor Corporation is a dynamic, diversified company with big plans for the future ― and your career. We power our employees’ potential and strive to create opportunity and security for every member of the team. If you’re ready for something bigger ― more challenge, more variety, more pathways for professional growth ― we should talk. We’re passionate about our work, we believe there is always a better way, and we’re looking for people like you.
Ready to reach your potential? It’s time to look at Taylor.
Your Opportunity: Taylor is seeking a mid/senior level Penetration Tester to perform network and application penetration tests and vulnerability assessments on industry standards and regulatory requirements. The Penetration Tester will design and perform penetration tests, analyze findings, and report results. The ideal candidate will have experience with or knowledge of Windows and Linux OS, networking, cloud environments, and secure application development best practices.
Your Responsibilities:
Work with businesses to determine scope and rules of engagement.
Design and perform internal and external application and network penetration tests and vulnerability assessments against multiple standards / requirements to ensure compliance (OWASP, NIST, PCI, contractual requirements)
Perform risk assessments of network, application, wireless, and other technologies
Document results and recommendations using company–standard templates.
Develop and maintain penetration test procedures, finding templates, and other documentation
Review penetration test reports for other penetration testers
Act as a senior resource for more junior penetration testers
Create security training materials concerning common penetration test findings for developers and system administrators.
Design or contribute to social engineering tests.
Work with information security management to develop strategies and plans to enforce ongoing security requirements and address identified risks
Report to management concerning residual risk, vulnerabilities and other security exposures; including misuse of information assets and noncompliance
Remain current on security trends, best practices, and issues.
Perform other duties as assigned
You Must Have:
U.S. Citizenship is required, due to projects that may require government clearance
Minimum of five years of experience relative to Information Technology
Mid/Senior level experience in application development plus either system administration or networking
Industry-recognized penetration test certification required, or commitment to complete certification at candidate’s expense within six months of employment.
Ability to work in a fast-paced, fluid environment
Proactive, decisive, action-oriented individual
Positive attitude about documentation and detailed tracking requirements
Strong written and verbal communication skills
Able to clearly present or document technical issues in a way that nontechnical people can understand
Ability to be broadly focused and manage multiple efforts concurrently
Ability to work well under minimal supervision and meet deadlines
Strong analytical and problem-solving skills to enable effective problem resolution
Ability to balance completing priorities of security, IT and business
Desire to foster a collaborative environment across a remote team
Ability to interface effectively with a broad range of people and roles, including vendors, customers, IT and business personnel
Strong business ethics
We Would Also Prefer:
Degree in Cyber Security, Information Systems Auditing, or other equivalent degree or experience preferred
Minimum of two years of full-time experience performing Penetration Tests
Experience using common penetration test tools such as Burp Suite Pro, application scanners, Nessus, Nmap, Metasploit Pro, and Kali-Linux tools
Experience in networking, system administration, scripting, and/or application development on prem and/or in the cloud highly desirable
Here is how we are going to keep you safe in the workplace:
Our focus continues to be on our employees and their wellbeing, and we have taken steps to ensure your safety in all our facilities. The following are workplace safety guidelines in each of our Taylor locations:
Work from home in accordance with CDC and state guidelines
Masks are provided and required in all our facilities
Employees will maintain at least 6 feet of distance whenever possible
We have hand sanitizer and soap & water readily available
Increased cleaning and disinfection of high traffic areas
Communication & Action Plans if one of our employees shows symptoms or tests positive for COVID-19
About Taylor Corporation
One of the top five graphics communications companies in North America, Taylor’s family of companies provide a diverse set of products, services and technologies addressing the toughest communication challenges. For 45 years, Taylor has been a premier provider of powerful and innovative products, services and expertise for individuals, businesses and distributors large and small. Our 12,000+ employees spanning more than 25 states and nine countries work diligently to create the interactive, printing and marketing solutions that have helped build some of the world’s more recognizable brands. Everything we do begins with identifying the unique priorities and needs of our customers and creating one-of-a-kind solutions. We offer a full range of benefits to power our employees’ potential including: health, dental, vision and life insurance; a 401(k) plan; paid time off (PTO) and holiday pay, and more.
Taylor Corporation is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
Taylor Technology Services Inc
is an Equal Opportunity Employer, please see our EEO policy."
Red Team/Penetration Tester Engineer,Leidos,"Reston, VA 20170+1 location",https://indeed.com/viewjob?jk=d2fc0f40d397e931,"$110,500 - $170,000 a year","Position Overview
We’re looking for candidates that are knowledgeable in application security and vulnerabilities. We don’t expect our candidates to know everything, but we do expect them to take on new challenges and not be afraid to fail. Successful candidates are passionate about information security and willing to learn new things.
Our security team is located in downtown Seattle serving a global client base of technology vendors and enterprise IT organizations. We’re looking for a professional security engineer to join our office in Seattle.
Your Responsibilities
Hack all the things. Okay, seriously, here are some HR Role and Responsibility content regarding what you will do on a daily basis:
Work closely with other application security engineers to perform reviews and tests on Web and Conventional applications as well as embedded, firmware, mobile, and more
Use a combination of manual and automated techniques to assess risks and circumvent security mechanisms of devices and applications
Create threat models that result in more secure application design
Design and develop security testing scenarios
Analyze and present results of testing to team members, managers, and customers
Write detailed problem reports, test plan documents, and mitigation recommendations as needed
Develop tools to aid penetration test automation and effectiveness
Review code for common security vulnerabilities
Possible travel to client sites to conduct in-person security reviews and assessments
Your Resume
We’ll glance at it. Being professional with documentation is important when putting together reports for our clients. Constructing a formal resume can demonstrate that to us. What we’re really looking for, even if your resume doesn’t say it, is someone versed and capable in one or many of the following areas:
Penetration Testing and Ethical Hacking
Dynamic and/or Static Code Analysis
Software Development
Interest in conducting security research
Must Haves
What we expect of our applicants:
Knowledge of common application security bugs and other attack types
Demonstrate an ability to code in one or more language
Above average knowledge of Windows and/or Linux and Unix variants
Willingness to learn new technologies
Strong written and verbal communication skills
Not a jerk – We have a policy about it
Nice to Haves
These skills are not required, but if you have any of them, you are likely a good candidate for the position:
B.S. in Computer Science or related degree
Completed OSCP, OSCE, or a similar security certification
Understanding of application design, development, and testing techniques
Involved in Bug Bounty program
Participated in a Capture the Flag event
Working knowledge of common security testing tools like Burp Suite, SQLMap, Metasploit, IDAPro, etc.
Experience with embedded, firmware, and/or IoT technologies
Detail-oriented and dependable
Good sense of humor
If you have an in-deep knowledge of a specific technology, teach us about it. Our engineers have a wide breadth of security knowledge, but we love it when engineers have an extensive understanding of one technology.
Perks & Benefits
There is a reason we have a 4.9/5 rating on Glassdoor. We take care of our clients, but also take care of our employees.
Comprehensive health, dental, and vision insurance coverage provided (HMO, PPO, and HSA options available)
Generous 401k matching
Take what you need PTO
Work-life balance – we mean it
Financial assistance and scheduled time off for research
Professional Development budget for conferences, classes, certifications, or other learning opportunities
Flexible work environment with telecommuting options available
Extensive technology budget renewed every year
Free coffee, snacks, beverages, among other office treats
**You must be legally eligible to work in the USA. We are not accepting candidates that will require Security Innovation to commence (“sponsor”) an immigration case (for example, H-1B or other employment-based immigration cases) at this time or in the future.
Apply for This Position
Send your resume to jobs@securityinnovation.com and begin completing the challenges at https://canyouhack.us.
We look forward to meeting you."
Sr. Penetration Tester(remote virtual home office),Humana,"Louisville, KY 40202 (Central Business District area)•Remote",https://indeed.com/viewjob?jk=80290d7a108ef6c2,None,"About the role:
BSI is hiring a Senior Web Application Penetration Tester. This regular, full-time position is a great opportunity for someone with strong web application penetration testing skills who would like to work on a variety of interesting projects. This position focuses primarily on web application penetration testing; however, opportunities may be available to perform IoT testing, network penetration testing, red team engagements, social engineering, and physical penetration testing.
We have plenty of exciting projects to work on, including security assessments of web applications, execution of social engineering campaigns, and even physical security assessments.  This is an opportunity for a team player who would like to work with a world-class group, is ready to get started quickly, and is eager to learn new skills and have fun while doing so.
Senior Web Application Penetration Tester Responsibilities:
Understanding of web application security (including but not limited to OWASP Top Ten)
Conducting all types of web application penetration testing, vulnerability assessments, and architecture reviews
Writing a formal security assessment report for each penetration test using our company’s standard reporting format
Participating in conference calls with clients to review your assessment results and consult with the clients on remediation options
Retesting security vulnerabilities that have been fixed and republishing your report to indicate the results of retesting
Assisting with security assessment and reporting methodology enhancements
Performing security research on topics that interest you and publishing content to contribute to the information security community
Education/Qualifications:
The ideal candidate will possess at least 5 years of experience performing penetration tests, including familiarity experience with two or more of the following:
Network penetration testing and security fundamentals
Vulnerability assessments
Mobile application penetration testing and security fundamentals (iOS/Android)
Secure source code review / static analysis (manual and/or automated)
IoT penetration testing and security fundamentals
Social engineering campaigns
Physical penetration testing
Secure software development and architecture
Scripting/coding
Knowledge of industry compliance standards and regulations (PCI, HIPAA, etc.)
Experience in blue team roles: System/Network Administration, Developer, Security Engineer, or equivalent
What we offer:
BSI offers a competitive salary, group-sponsored health and dental, short-term and long-term disability, a company-matched 401k plan, company paid life insurance, 11 paid holidays and 4 weeks paid time off.
Our Excellence Behaviours: Client-centric, Agile, Collaborative. These three behaviours represent how we do things at BSI. They help us ensure that BSI is a great place to work and a highly successful business.
BSI is an Equal Opportunity Employer and we are committed to diversity.
BSI is conducting face-to-face interviews where appropriate and possible. If you are invited to a face-to-face interview but feel more comfortable with conducting the interview virtually, please speak to a member of our recruitment team.
Job Type: Full-time
Salary: From $0.10 per hour
Work Remotely:
Yes"
Info Security Analyst Senior/Penetration Tester - Senior (10...,USAA,"San Antonio, TX 78288 (Downtown area)•Remote",https://indeed.com/viewjob?jk=6a19b18249f08400,None,"Location: North Carolina
Position Type: Full Time
Email your resume at - info@ideahelix.com
Details:
Working knowledge of Security principles, techniques and technologies
Vulnerability analysis and application reversing skills
Strong ethics and understanding of ethics in business and information security
Understanding and famiiarity with common code review methods and standards
Knowledge of OWASP tools and methodologies
Good understanding of HTTP, Java, JavaScript and web programming
Knowledge of standard SDLC practices
Minimum of 5-7 years of Application Security experience
Ability to complete tasks and deliver professionally written reports for clients
Ability to present findings to technical staff and executives
Possess current security certifications (e.g., CISSP, CEH)"
Penetration Tester Consultant,Deloitte,"Alexandria, VA 22314 (King St. Metro-Eisenhower Ave. area)+4 locations",https://indeed.com/viewjob?jk=c493467cbe9fbdb2,None,"Accenture Flex offers you the flexibility of local fixed duration project based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE 100 Best Companies to Work For and Diversity Inc s Top 50 Companies for Diversity lists.

As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture s clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today s biggest business challenges.
You will receive competitive rewards and access to benefits programs and world class learning resources. Accenture Flex employees work in their local metro area onsite at the project significantly reducing and or eliminating the demands to travel.

This is a 100% REMOTE POSITION ( Can be based out anywhere in USA)
Required Skills:
3 years of experience
1. Cloud, Infrastructure, and Application Penetration Testing Operations
2. Application Code Security Review
3. Security Risk Assessments
Job Description and Responsibilities for this role :
Infrastructure and Applications penetration testing analyst senior analyst. This resource will plan, conduct, execute, and report on testing activities and results in alignment with our contractual and engagement level agreements. Some testing will be pre scheduled as part of contractual cadence while the expectation will also require efforts around ad hoc testing as well.
As required by the Colorado Equal Pay Transparency Act, Accenture provides a reasonable range of minimum compensation for roles that may be hired in Colorado. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific office location. For the state of Colorado only, the range of starting pay for this role is {{$68,600 - $86,399 }} and information on benefits is here

What We Believe

We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.

Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here

Equal Employment Opportunity Statement

Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.

All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Accenture is committed to providing veteran employment opportunities to our service men and women.

For details, view a copy of the Accenture Equal Opportunity and Affirmative Action Policy Statement.

Requesting An Accommodation

Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.

If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.

Other Employment Statements

Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.

Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.

Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.

The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information."
